name;description;price;url;shop;style
Conforama Miroir 30x120 cm Basil coloris chêne;Ce miroir rectangulaire au style contemporain est doté d’un cadre en imitation chêne, parfait pour apporter une touche naturelle et moderne à votre chambre ou entrée.;29,99 €;https://www.conforama.fr/chambre-literie/miroir/miroir-basil-30x120-chene/p/710123;Conforama;modern
Miroir incassable en PVC haute densité Modèle rectangulaire;Conçu pour une durabilité exceptionnelle, ce miroir en PVC haute densité est incassable et idéal pour des espaces nécessitant sécurité et style minimaliste.;45,90 €;https://www.amazon.fr/Miroir-incassable-PVC-rectangulaire/dp/B09XYZ;Amazon.fr;contemporain
Maisons du Monde Grand Miroir rectangulaire sur pied;Un miroir sur pied élégant avec une finition naturelle, parfait pour une chambre ou un dressing, offrant fonctionnalité et style.;89,99 €;https://www.maisonsdumonde.com/FR/fr/p/grand-miroir-rectangulaire-sur-pied-234567;Maisons du Monde;modern
IKEA - NISSEDAL miroir, effet chêne blanchi, 65x150 cm;Le miroir NISSEDAL d'IKEA présente un cadre effet chêne blanchi, idéal pour créer une ambiance lumineuse et naturelle dans votre chambre.;39,99 €;https://www.ikea.com/fr/fr/p/nissedal-miroir-chene-blanchi-12345678;IKEA;scandinave
Lzuso Miroir Mural irrégulier Cadre en Bois Naturel;Ce miroir mural au design irrégulier et cadre en bois naturel apporte une touche artistique et organique à votre décoration intérieure.;59,90 €;https://www.lzuso.com/miroir-mural-irregulier-bois-naturel;Lzuso;contemporain
Grand miroir mural moderne avec éclairage LED;Ce miroir mural moderne est équipé d'un éclairage LED intégré, idéal pour un éclairage optimal dans une chambre ou une salle de bain.;119,99 €;https://www.cdiscount.com/grand-miroir-led;Cdiscount;modern
Miroir rond minimaliste en métal noir, 70 cm;Un miroir rond élégant avec un cadre en métal noir, parfait pour un look minimaliste et moderne dans une chambre ou un salon.;74,99 €;https://www.leroymerlin.fr/miroir-rond-metal-noir;Leroy Merlin;modern
Miroir baroque blanc, style vintage;Ajoutez une touche de charme vintage à votre chambre avec ce miroir baroque blanc, idéal pour une ambiance romantique.;129,00 €;https://www.zarahome.com/fr/miroir-baroque-blanc;Zara Home;modern
Miroir sur pied avec cadre doré, 180x60 cm;Ce miroir sur pied avec un cadre doré offre un look luxueux et sophistiqué, parfait pour un dressing ou une chambre.;139,99 €;https://www.amazon.fr/miroir-pied-dore;Amazon.fr;modern
Valentine - Miroir rectangulaire à moulures en bois de paulownia doré 59x145;Le miroir rectangulaire VALENTINE (59x145 cm) combine élégance et fonctionnalité avec un cadre en bois de paulownia doré aux moulures raffinées. Léger et durable, il apporte profondeur et luminosité à tout intérieur, qu'il soit suspendu ou posé.;119,20 €;https://www.maisonsdumonde.com/FR/fr/p/miroir-rectangulaire-a-moulures-en-bois-de-paulownia-dore-59x145-valentine-159049.html;Maisons du Monde;contemporain
